"page_name","funding_entity"
"ClearPath Action Fund","ClearPath Action, Inc. Not authorized by any candidate or candidate's committee."
"Kyrsten Sinema","Sinema for Arizona"
"Arizona Truth Squad","Sinema for Arizona"
"DefendArizona","Defend Arizona. "
"Winning For Women","Winning For Women, Inc."
"Martha McSally","McSally For Senate, Inc."
"Martha McSally","McSally for Senate"
"ACLU of Arizona","the American Civil Liberties Union of Arizona"
"One Nation","One Nation"
"Planned Parenthood Action","Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee."
"Martha McSally",NA
"Arizona First","Arizona First PAC not authorized by any candidate or candidate’s committee."
"Priorities USA Action","Priorities USA Action. Not authorized by any candidate or candidate's committee."
"Arizona Progressives","lpac"
"Dr. Kelli Ward","KELLI WARD FOR SENATE, INC."
"Democratic Coalition Against Trump","The Democratic Coalition"
"KelliPAC","KelliPAC"
"Emerson College Polling","Emerson College Polling"
"Brandon Martin for Congress","Martin for Freedom"
"National Association for Gun Rights","National Association for Gun Rights"
"Arizona Republican Legislative District 15","Dave Ryan AZGOP LD15 Chair"
"Arizona Center for Economic Progress","Arizona Center For Economic Progress"
"Team Kelli Ward","Kelli Ward for Senate, Inc, www.KelliWard.com"
"LGBTQ Victory Fund","LGBTQ Victory Fund"
"The Prosper Group","The Prosper Group"
"Arizona Libertarian Party","Arizona Libertarian Party"
"Kirsten Gillibrand","Gillibrand for Senate"
"Radical Kyrsten","NRSC and not authorized by any candidate or candidate’s committee"
"Our Voice, Our Vote Arizona","Our Voice Our Vote Arizona "
"Blog For Arizona","Larry Bodine"
"Federation of American Hospitals","Federation of American Hospitals"
"Kyrsten Sinema",NA
"Fed of American Hospitals","Federation of American Hospitals"
"David Garcia","Garcia for Governor. Authorized by Garcia for Governor."
"Democrats Need to Vote","Dave Palermo"
"The Tax Scam",NA
"Rachel's Action Network","Rachel's Action Network"
"North Valley Democrats","the North Valley Democrats"
"EMILY's List","EMILY's List"
"Catholics for America","Catholics for America"
"UAW International Union","the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate."
"Democratic Senatorial Campaign Committee (DSCC)","the DSCC"
"Scott Menor for America","The Committee to elect Scott Menor"
"When Democrats Turn Out","When Democrats Turn Out PAC"
"Civic Action Network","Civic Action Network"
"Alison Hartson",NA
"David Hildebrand for U.S. Senate","David for California"
"Dianne Feinstein","Feinstein For Senate 2018"
"Travis Allen","TAKE BACK CALIFORNIA PAC"
"Gayle McLaughlin for California Lieutenant  Governor - VOTE JUNE 5","Gayle McLaughlin for Lt. Governor FPPC#1396385"
"Rev. Mark Creech","Mark H Creech"
"ThoughtFull","ThoughtFull Enterprises, Inc."
"2018 CA Midterms",NA
"Public Policy Institute of California","Public Policy Institute of California"
